"","Agrotis ipsilon ","Alloscirtetica antarctica ","Alloscirtetica sp1 M_PL_022","Anthidium chubuti","Astylus sp1 M_PL_022","Calliphoridae sp1 M_PL_022","Chilimelissa farellones ","Chilimelissa sp1 M_PL_022","Chironomidae sp1 M_PL_022","Chlorobrachycoma versicolor ","Coccinela anchoralis","Dasybaris chillan ","Dolichogyna sp1 M_PL_022","Geron sp1 M_PL_022","Hypodinerus sp1 M_PL_022","Hypodinerus sp2 M_PL_022","Ichneumonidae sp1 M_PL_022","Issoria lathonioides","Liphantus sp1 M_PL_022","Liphantus sp2 M_PL_022","Megachile sp1 M_PL_022","Megachile sp2 M_PL_022","Microcerella rusca ","Mosillus sp1 M_PL_022","Peridroma saucia ","Phulia sp1 M_PL_022","Phulia sp2 M_PL_022","Podagritus sp1 M_PL_022","Pseudoleucania nobilis ","Pseudoleucania sp1 M_PL_022","Pyrgus fides ","Spinoliella sp1 M_PL_022","Tamseuxoa ingoufii ","Thyridanthrax sp1 M_PL_022","Thyridanthrax sp2 M_PL_022","Thyridanthrax sp3 M_PL_022","Thyridanthrax sp4 M_PL_022","Thysanoptera sp1 M_PL_022","Tropidia notata","Unidentified sp1 M_PL_022","Unidentified sp2 M_PL_022","Unidentified sp3 M_PL_022","Unidentified sp4 M_PL_022","Unidentified sp5 M_PL_022","Unidentified sp6 M_PL_022"
"Adesmia haemisphaerica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Astragalus cruckshanksii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astragalus nivicola",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azorella monanthos",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
"Calandrinia caespitosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium arvense",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Discaria nana",1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0
"Epilobium nivale ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris montana ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaborosa laciniata ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Leuceria candidissima ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loasa incurva ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menonvillea hookeri ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Montiopsis gilliesii ",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis erythrorhiza",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perezia pilifera",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phacelia secunda",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Senecio looseri ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Senecio tricephalus ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sisyrinchium junceum",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarasa humilis ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
