"","Adscita statices","Anaspis flava","Anaspis frontalis","Anaspis rufilabris ","Aphantopus hyperantus","Apion aeneum","Apion flavipes","Apion hookeri ","Apion meliloti ","Apion rufirostre ","Bombus hortorum","Bombus lapidarius","Bombus lucorum","Bombus pascuorum","Bombus pratorum","Bombus ruderatus","Bombus soroeensis","Bombus terrestris","Byturus aestivus","Ceuthorrhynchus assimilis ","Ceuthorrhynchus pollinarius","Ceutorrhynchus rugulosus ","Cheilosia albitarsis","Cheilosia impressa ","Cheilosia velutina ","Chrysogaster cemiteriorum","Chrysogaster solstitialis","Chrysomela fastuosa","Clytus arietis","Coccinella septempunctata","Corticarina gibbosa ","Crambus pratella","Dasytes plumbeus ","Enicmus transversus","Eoseristalis abusivus","Eoseristalis arbustorum","Eoseristalis horticola","Episyrphus balteatus","Epuraea depressa Illiger","Eristalinus sepulchralis","Eumerus tuberculatus ","Grammoptera ruficornis ","Leptura rubra","Malachius viridis","Maniola jurtina","Melanostoma scalare","Meligethes sp1 M_PL_018","Meliscaeva cinctella","Mesapamea secalis","Miarus campanulae.","Miccotrogus picirostris ","Nemophora degeerella","Neocnemodon sp1 M_PL_018","Olibrus aeneus ","Oulema melanopus","Parasyrphus malinellus","Pieris napi","Polyommatus icarus ","Psithyrus bohemicus","Psithyrus campestris","Psithyrus rupestris","Rhingia campestris","Rhynchites germanicus ","Scaeva pyrastri","Sitona lineatus","Sphaerophoria menthastri","Sphaerophoria scripta","Sphaerophoria taeniata","Strangalia maculata","Strophosomus capitatus","Syrphus ribesii","Syrphus vitripennis ","Thymelicus sylvestris","Unidentified sp1 M_PL_018","Unidentified sp10 M_PL_018","Unidentified sp11 M_PL_018","Unidentified sp12 M_PL_018","Unidentified sp13 M_PL_018","Unidentified sp14 M_PL_018","Unidentified sp15 M_PL_018","Unidentified sp16 M_PL_018","Unidentified sp17 M_PL_018","Unidentified sp18 M_PL_018","Unidentified sp19 M_PL_018","Unidentified sp2 M_PL_018","Unidentified sp20 M_PL_018","Unidentified sp21 M_PL_018","Unidentified sp22 M_PL_018","Unidentified sp23 M_PL_018","Unidentified sp24 M_PL_018","Unidentified sp25 M_PL_018","Unidentified sp26 M_PL_018","Unidentified sp27 M_PL_018","Unidentified sp28 M_PL_018","Unidentified sp29 M_PL_018","Unidentified sp3 M_PL_018","Unidentified sp30 M_PL_018","Unidentified sp4 M_PL_018","Unidentified sp5 M_PL_018","Unidentified sp6 M_PL_018","Unidentified sp7 M_PL_018","Unidentified sp8 M_PL_018","Unidentified sp9 M_PL_018","Volucella pellucens","Zygaena filipendulae "
"Achillea millefolium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Aegopodium podagraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Allium scorodoprasum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica sylvestris",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Calystegia sepium",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium glomeratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaerophyllum temulentum",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Chamomilla recutita",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysanthemum maximum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium arvense",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
