"","Coereba flaveola ","Columba squamosa ","Euphonia musica ","Icterus dominicensis ","Loxigilla portoricensis ","Melanerpes portoricensis ","Myarchus antillarum ","Nesospingus speculiferus","Spindalis portoricensis ","Turdus plumbeus ","Tyrannus caudifasciatus ","Tyrannus dominicensis ","Vireo altiloquous ","Vireo flavirostris ","Vireo latimeri "
"Alchornea latifolia ",0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
"Casearia sylvestris ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cecropia schreberiana ",5,0,1,0,4,1,0,2,17,2,0,1,5,0,0
"Citrus sinensis ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Coffea arabica ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dendropanax arboreus ",0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
"Ficus sp1 M_SD_006",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"Guarea guidonia ",0,0,0,0,13,1,1,0,0,0,2,1,5,1,0
"Inga vera ",2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Miconia laevigatta ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Miconia prasina ",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"Momordica charantia ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Murraya paniculata ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Musa acuminata ",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Ocotea floribunda ",0,1,0,0,0,0,0,0,0,3,0,1,0,0,0
"Phytolacca rivinoides ",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Piper amalaga ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Roystonea borinquena ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Schefflera morototoni ",1,0,0,0,0,0,0,0,7,4,0,4,0,0,0
"Solanum rugosum ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tournefortia hisutissima ",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
