"","Acarina sp1 M_PL_020","Acarina sp4 M_PL_020","Aedes impiger","Aedes nigripes","Aedes sp1 M_PL_020","Allopiophila fulviceps","Anarta richardsoni","Apanteles sp1 M_PL_020","Arctoseius cetratus","Atractodes sp1 M_PL_020","Boloria chariclea","Boloria polaris","Bombus sp1 M_PL_020","Boreellus atriceps","Bryobia praetiosa","Calliphoridae sp1 M_PL_020","Carposcalis carinata","Cecidophyes sp1 M_PL_020","Ceratopogon sp1 M_PL_020","Ceratopogon sp2 M_PL_020","Chalcidae sp1 M_PL_020","Colias hecla","Corynoneura scutellata","Cricotopus sp1 M_PL_020","Crymodes exulis","Cryptus arcticus","Culicoides sp1 M_PL_020","Dictyna borealis","Diptera sp5 M_PL_020","Dolichopus dasyops","Entomobrya comparata","Erigone pyschrophila","Eupogonomyia groenlandica","Forcipomyia sp1 M_PL_020","Fucellia pictipennis","Helophilus borealis","Ichneumonidae sp1 M_PL_020","Lasiestra leucocycla","Lasiopiophila pilosa","Limnophyes sp1 M_PL_020","Lycaena feildeni","Metasyrphus chillcotti","Microspectra sp1 M_PL_020","Microspectra sp2 M_PL_020","Nematus sp1 M_PL_020","Olethreutes inquietana","Oresbius sp1 M_PL_020","Orthocladiinae sp1 M_PL_020","Paraphaenocladius despectus","Pardosa glacialis","Pectinarctica stylata","Pegomyia sp1 M_PL_020","Peleteria aenea","Periscepsia sp1 M_PL_020","Phalacrodira nigropilosa","Phormia terraenovae","Phytomyza erigerontophaga","Plebius aquilo","Pogonomyoides segnis","Procladius sp1 M_PL_020","Psectrocladius sp1 M_PL_020","Rhamphomyia filicauda","Rhamphomyia hoeli","Rhamphomyia sp1 M_PL_020","Rhamphomyia sp2 M_PL_020","Rhamphomyia ursinella","Saotis sp1 M_PL_020","Scatophaga apicaulis","Scatophaga multisetosa","Scatophaga sp1 M_PL_020","Sciari sp1 M_PL_020","Smittia sp1 M_PL_020","Smittia velutina","Spilogona denudata","Spilogona dorsata","Spilogona extensa","Spilogona melanosoma","Spilogona obsoleta","Spilogona sanctipauli","Spilogona tornensis","Spilogona tundrae","Stenomacrus sp1 M_PL_020","Sympistris labradoris","Tachinidae sp1 M_PL_020","Tarentula exasperans","Tipula arctica","Tridymus sp1 M_PL_020","Unidentified sp1 M_PL_020","Unidentified sp2 M_PL_020","Unidentified sp3 M_PL_020","Xysticus deichmanni"
"Arnica alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope tetragona",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Draba sp1 M_PL_020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dryas integrifolia",0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
"Erigeron compositus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigeron eriocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysimum pallasii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lesquerella arctica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaver radicatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
