"","Adomerus biguttulus","Agathis sp1 M_PL_055","Aldrichina grahami","Allograpta javana ","Andrena japonicum","Andrena Knuthi","Andrena munutula","Anoptius eous","Apis cerana ","Apis mellifera","Arge nipponensis ","Argynnis paphia tsushimana","Athemus lineatipennis","Bagous sp1 M_PL_055","Bagous sp2 M_PL_055","Bombus diversus","Bombus hypocrita","Brontaea sp1 M_PL_055","Calomicrus sp1 M_PL_055","Campsomeris grossa","Ceratina esakii ","Ceratina flavipes ","Ceratina japonica ","Chaetocnema bicolorata","Cheilosia sp1 M_PL_055","Cheitosia sp1 M_PL_055","Chelonus sp1 M_PL_055","Chrysomya pinguis ","Colletes patellatus","Conocephalus japonicus","Coptosoma parvipictum","Cottetes palellatus","Cryptophilus sp1 M_PL_055","Cyphon sp1 M_PL_055","Cyphononyx dorsalis ","Dasyphora sp1 M_PL_055","Diasemia litterata","Dienerella sp1 M_PL_055","Dienerella sp2 M_PL_055","Dolichopus nitidus","Dolichopus sp1 M_PL_055","Dolycoris bacculum","Donacia provostii","Dotichopus nitidus","Drosophila sp1 M_PL_055","Drosophila sp2 M_PL_055","Echinomyia mikado","Epistrophe sp1 M_PL_055","Episyrphus balteatus","Eristalinus viridis ","Eristalis cerealis ","Eristalis kyokoae","Eristatinus viridis","Eudorilas cruciator","Eumenes micado","Eumenes samurai","Eurema hecabe ","Eurydema rugosum","Eutachina sp1 M_PL_055","Everes argiades hellotia","Graphomyia rufitibia","Gymnosoma sp1 M_PL_055","Haplothrips sp1 M_PL_055","Helina sp1 M_PL_055","Helina sp2 M_PL_055","Helina sp3 M_PL_055","Helina sp4 M_PL_055","Helophilus virgatus ","Hetophilus virgatus","Homoneura extera","Homoneura sp1 M_PL_055","Homoneura sp2 M_PL_055","Hydrometra procera","Hylaeus floralis ","Hylaeus macilentus","Hylaeus noomen","Hymerria recurvalis","Involvutus ilosus","Ischnura asiatica","Lagidina ptatyeerus","Larra sp1 M_PL_055","Lasioglossum affine","Lasioglossum allodalum","Lasioglossum exiliceps","Lasioglossum gorkiense","Lasioglossum japonicum","Lasioglossum mutilum ","Lasioglossum percrassicepes","Lasioglossum scitulum ","Lasioglossum sibiriacum","Limnia sp1 M_PL_055","Limnophora promineus","Limnophora sp1 M_PL_055","Limnophora sp2 M_PL_055","Limnophora sp3 M_PL_055","Limnophora sp4 M_PL_055","Limnophora sp5 M_PL_055","Limnophora sp6 M_PL_055","Lispe sp1 M_PL_055","Lucilia caesar","Lucilia papuensis","Lycaena phlaeas daimio","Lygocoris pallens","Masicera sp1 M_PL_055","Matachius prolongatus","Megachile nipponica ","Megachile tsurugensis ","Megachite nipponica","Megachite tsurugensis","Melanostoma mellinum","Melanostoma scalare","Mesembrius flaviceps","Microdon japonicus","Monolepta fulvicollis","Nomada fukuiana","Nomada nipponica","Nysius plebeius","Ochtera mantis","Odontobracon sp1 M_PL_055","Oreumenes decoratus","Orthopagus lunutiper","Osmia taurus ","Oulema erichsoni","Oxycetonia jucunda ","Papilio helenus nicconicolens","Paragus haemorrhous","Paragus jozanus ","Paragus kaemorrhous","Paragus quadrifasciatus","Parnara guttata guttata ","Pelopidas mathias oberthueri ","Petaphora maritima","Phaenicia sericata","Phaonia sp1 M_PL_055","Phaonia sp2 M_PL_055","Phaonia sp3 M_PL_055","Phynocoris ornatus","Phytobius sp1 M_PL_055","Phytomia zonata ","Piocoris varius","Pipiza lugubrius","Platycheirus pennipes","Polistes chinensis antennalis","Polymerus pekinensis","Polytremis pellucida pellucida","Propylea japonica","Psen sp1 M_PL_055","Pteronemobius csikii","Ravinia striata","Rhamphomyia latistriata","Rhinotropidia rostrata","Rhopalus maculatus","Scotinophara lurida","Scymnus hoffmanni","Scymnus jamato","Servillia jokovlewii","Sphaerophoria macrogaster ","Stenodynerus sp1 M_PL_055","Stomorhina obsoleta ","Stratiomys sp1 M_PL_055","Thelaira nigripes","Thelaira sp1 M_PL_055","Thoressa varia","Tipula patagiata","Tropidothorax belogolowi ","Tropidothorax cruciger","Unidentified sp1 M_PL_055","Unidentified sp10 M_PL_055","Unidentified sp11 M_PL_055","Unidentified sp12 M_PL_055","Unidentified sp13 M_PL_055","Unidentified sp14 M_PL_055","Unidentified sp15 M_PL_055","Unidentified sp16 M_PL_055","Unidentified sp17 M_PL_055","Unidentified sp18 M_PL_055","Unidentified sp19 M_PL_055","Unidentified sp2 M_PL_055","Unidentified sp20 M_PL_055","Unidentified sp21 M_PL_055","Unidentified sp22 M_PL_055","Unidentified sp23 M_PL_055","Unidentified sp3 M_PL_055","Unidentified sp4 M_PL_055","Unidentified sp5 M_PL_055","Unidentified sp6 M_PL_055","Unidentified sp7 M_PL_055","Unidentified sp8 M_PL_055","Unidentified sp9 M_PL_055","Vespa simiUima xanthoptera","Vespula tewisii","Vespula vulgaris ","Xylocopa appendiculata","Xylocopa appendicutata","Ypthima argus "
"Adenophora triphylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschynomene indica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alisma canaliculatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alium grayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ampetopsis brevipedunculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bidens frondosa",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardamine tyrata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chelidonium majus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium sieboldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
