"","Alophera sp1 M_PL_019","Apis mellifera","Calliphora fulvicoxa","Calliphora hilli","Calliphora sp1 M_PL_019","Calliphora sp2 M_PL_019","Calliphora sp3 M_PL_019","Calliphora stygia","Chaetophthalamus dorsalis","Chloromerus sp1 M_PL_019","Coenosia sp1 M_PL_019","Coenosia sp2 M_PL_019","Comptosia sylvana","Dilophus sp1 M_PL_019","Diostracus sp1 M_PL_019","Empis sp2 M_PL_019","Empis sp3 M_PL_019","Empis sp4 M_PL_019","Empis sp5 M_PL_019","Empis sp6 M_PL_019","Eristalis tenax","Euryglossa sp1 M_PL_019","Euryglossa sp2 M_PL_019","Euryglossa sp3 M_PL_019","Exonera sp1 M_PL_019","Helina sp1 M_PL_019","Helina sp2 M_PL_019","Hydrellia sp1 M_PL_019","Hylaeus semipersonatus","Hylaeus sp1 M_PL_019","Hyphesma sp1 M_PL_019","Incurviseta sp1 M_PL_019","Incurviseta sp2 M_PL_019","Lasioglossum sp1 M_PL_019","Lasioglossum sp10 M_PL_019","Lasioglossum sp11 M_PL_019","Lasioglossum sp2 M_PL_019","Lasioglossum sp3 M_PL_019","Lasioglossum sp4 M_PL_019","Lasioglossum sp5 M_PL_019","Lasioglossum sp6 M_PL_019","Lasioglossum sp7 M_PL_019","Lasioglossum sp8 M_PL_019","Lasioglossum sp9 M_PL_019","Leioproctus sp1 M_PL_019","Leioproctus sp2 M_PL_019","Leioproctus sp3 M_PL_019","Leioproctus sp4 M_PL_019","Leioproctus sp5 M_PL_019","Limnophora sp1 M_PL_019","Megachile sp1 M_PL_019","Melangyna sp1 M_PL_019","Musca vetustissima","Pelecorhychus rubidus","Phytoliriomyza sp1 M_PL_019","Poecilohetaerus sp1 M_PL_019","Prohardya carinata","Prosena sp1 M_PL_019","Rivellia sp1 M_PL_019","Rutilia sp1 M_PL_019","Sapromyza sp1 M_PL_019","Scaptia alpina","Scaptomyza australis","Senostoma sp1 M_PL_019","Senostoma sp2 M_PL_019","Senostoma sp3 M_PL_019","Sphenella marginata","Syrphus sp1 M_PL_019","Tabanus froggatti","Tapeigaster nigricornis","Tephritis sp1 M_PL_019","Tephritis sp2 M_PL_019","Unidentified sp1 M_PL_019","Unidentified sp2 M_PL_019","Unidentified sp3 M_PL_019","Unidentified sp4 M_PL_019","Unidentified sp5 M_PL_019","Unidentified sp6 M_PL_019","Unidentified sp7 M_PL_019","Unidentified sp8 M_PL_019","Unientified sp1 M_PL_019","Unientified sp2 M_PL_019","Unientified sp3 M_PL_019","Unientified sp4 M_PL_019","Villa sp1 M_PL_019"
"Achillea millefolium",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla glacialis",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,83,0,2,0,0
"Aciphylla simplicifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asperula gunnii",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baeckia gunniana",0,0,0,0,0,5,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0
"Brachycome scapiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachycome scapigera",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Brachycome sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachycome stolonifera",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia longifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
